"Actual","Predicted"
720,515.805360749597
305,331.626235831223
333,771.108402483561
839,619.29645021964
856,841.599373871629
1148,603.360961795957
1309,709.665510846613
1365,1308.42193102262
872,856.110773714957
434,453.708520460154
14,71.6696072012141
35,236.849803864706
21,67.2723353434325
224,253.908742857752
349,181.475363820426
1030,955.61307671823
1365,1311.28568994827
305,331.626235831223
397,416.517219831538
985,952.166044907838
947,1225.61133027347
323,347.741392821417
66,276.709350583326
569,957.138328135593
890,870.412318195585
621,418.145037378335
872,856.110773714957
305,331.626235831223
509,534.206540801257
410,658.708699634106
613,660.174566712376
528,417.912113230562
758,1015.32180372397
778,919.275904472235
305,331.626235831223
702,711.445007803732
783,733.83975388522
14,60.2623877131704
863,847.083031322822
461,481.109152545077
17,63.0842021522095
274,136.202180960375
456,532.141914862607
639,618.624078174834
652,652.609587140935
1039,1005.19347948227
481,336.784862548497
624,235.511733096883
1351,1299.76638086143
691,625.497612212726
701,641.295140561478
1000,1047.17909996154
1101,619.907400724504
426,536.461645040018
1153,968.671856148528
500,366.758325672754
488,513.229075723979
451,462.99364035558
305,331.626235831223
439,374.258815041765
532,544.983464314178
1077,1027.18546133127
1365,1309.8407407243
221,228.6004712607
1361,1301.83728734434
140,176.220529346743
454,491.801107600992
1237,1256.5976442153
488,500.501917741727
1359,1303.19081900088
875,867.277914746662
1184,1143.55027555404
1350,1291.86450204368
581,752.18622118748
890,870.412318195585
736,728.191159046946
934,931.489294795197
678,449.409441607003
488,500.007689843326
175,138.511547368722
469,559.13901755892
300,326.310754557688
878,679.199024872756
1365,1310.04213462478
310,296.893048980872
163,257.929288667841
1014,986.417019322432
897,1008.41133211954
570,545.138024506827
517,511.384379954561
330,967.811762220176
826,923.178435946597
922,748.626575209042
689,1134.47675584589
1025,1079.75357459571
438,303.428660088227
229,505.853004414612
639,722.256023802184
449,437.814279717276
543,572.744103729058
1090,1035.04824945065
833,880.611136640132
312,339.958084487864
224,253.623633467602
117,158.784297082213
1365,1307.8652781468
1351,1295.07207517937
397,413.507731824398
1315,1270.50310155305
652,650.967670220205
1293,1244.42856567348
912,894.35650870296
397,413.507731824398
445,458.460170199784
85,890.635503808793
451,462.99364035558
595,598.250660502689
499,500.704894713084
74,112.090123841033
1365,1309.69862708391
420,434.817941442113
1358,1303.07269315374
841,769.465847250152
1350,1293.29121684605
625,628.880352334583
311,521.585909511727
397,416.517219831538
397,416.517219831538
382,388.948379768995
307,358.920036774358
183,219.379140421586
367,398.487010707519
1365,1317.20236362375
305,331.626235831223
395,423.92335961236
285,420.037483699287
1310,1260.91043140251
1098,1062.23026174935
1090,1152.42551077267
1365,1308.53280689656
909,904.766502240681
1336,1276.57044145082
877,1221.29256368338
1359,1299.85410607231
431,446.711188470872
432,447.548218626369
922,894.061908623584
305,331.626235831223
962,1052.44976723742
770,776.322802658396
292,420.634055257453
299,326.234548503496
699,389.04320816039
514,525.578019793818
684,378.717915259146
1028,992.650794597279
511,520.766960783868
1185,1065.30462676289
1008,910.225042872375
310,335.949837309948
602,602.175278368973
328,353.082373355359
797,771.016628197641
275,152.622228465894
545,555.92882625653
575,607.914128717474
488,500.501917741727
950,844.998619774854
1363,1293.71016597741
902,880.018392262199
451,462.99364035558
248,267.989776586543
663,650.670138241665
942,762.738461360412
901,911.951194812179
1358,1301.48863798314
972,493.223216286328
37,129.109437930223
262,289.096723108466
397,416.517219831538
1365,1311.73304021296
514,525.578019793818
761,724.832112944392
555,561.6515244767
311,326.986559013883
1358,1347.8791778994
1098,1062.23026174935
199,251.791397910871
788,775.872010051201
312,339.958084487864
557,573.731571429727
1365,1304.98362159169
121,81.841590758957
595,634.698898390109
1062,968.089890575465
337,360.30268279865
449,464.412307930365
597,597.869474319839
932,912.478020749394
305,331.626235831223
595,598.250660502689
305,331.626235831223
73,101.142378890794
51,163.139681903145
548,543.868783598764
382,416.340206624542
891,870.412318195585
636,636.815014571984
336,511.27191435031
1365,1307.65267407532
696,674.61076342772
347,324.938929533379
278,213.48581747347
191,279.15748230581
451,462.99364035558
748,772.975278270252
915,879.580287910834
514,525.578019793818
660,745.115474002666
744,735.132721638508
575,579.681435204408
317,341.464187520783
317,341.464187520783
218,248.762690871074
582,549.725202362302
719,717.5813447311
1348,1287.75772488494
1365,1251.45842609618
960,877.809641628957
667,684.019358231594
552,590.594914276195
1107,1072.67563138696
307,506.741974113941
589,631.223370907751
199,229.983921979925
241,272.714556553613
1028,920.464580474121
619,564.196566932868
1088,979.928045065156
305,331.626235831223
1038,976.064941526783
611,612.117661522127
1365,1310.32660291383
569,577.156831057207
299,433.592740271166
462,685.870680916402
1364,1307.19199800064
576,573.467460680383
294,271.736488780782
342,360.645878913368
818,851.297346250197
83,123.890053207492
309,334.085635585513
434,464.435725548107
908,795.585732950388
684,680.27213249899
823,878.847677697481
1084,1050.96780343836
187,240.74454805906
442,460.325982217413
914,864.510365331644
308,334.753958569062
806,808.082301133231
514,516.145916254731
205,233.258573236342
1091,1107.85373066923
397,416.517219831538
412,597.628965449243
157,212.311501539418
128,168.880454314725
550,572.255803386989
1032,712.931625871308
305,331.626235831223
525,534.269892528165
488,500.501917741727
783,525.755360829329
279,317.221295921833
459,893.508156610165
1365,1311.12846151743
10,100.881357599443
218,71.5082879540602
66,121.435213347881
671,647.767820787175
105,145.813330506083
575,734.452677392694
317,341.464187520783
897,435.773378830714
1284,1282.54493551602
198,233.982232876029
434,448.697714528987
590,553.584996003692
261,315.599685197953
1080,998.692392505738
370,330.448667979898
375,334.888940620801
807,791.399505625874
1096,815.342093302184
546,615.068963532846
1352,1297.0026382958
597,597.869474319839
675,398.035565249451
1365,1311.89774134422
506,517.262690090729
464,517.065155034704
488,500.501917741727
382,317.355944305206
21,66.735799823902
233,570.193774912902
1363,1263.57164025328
582,606.813136466516
449,486.225454640861
421,443.904336441523
425,606.527523387984
539,601.257460559559
822,879.015857430938
1038,1161.62316582639
539,547.198394419827
