"Actual","Predicted"
490,504.590334951564
890,879.984472783221
595,584.388878039907
415,424.773422733724
704,713.922097126457
463,339.242803075921
1016,1147.04853869183
319,327.902125465664
724,701.362559319661
616,815.528006989391
451,660.411810205386
600,565.460116715907
160,205.374215134716
644,665.518931812675
382,395.38202008422
428,315.411247646983
959,842.985490626805
856,847.2345315771
317,328.409981600034
1355,1302.41812161632
921,857.506837067792
541,550.939959870566
463,404.013108632541
57,46.7130052202189
452,467.640893914342
305,331.153056198433
496,525.873452655992
397,414.883784340927
487,483.803231145524
1039,1001.03223416488
661,659.593468259063
1356,1321.72066381169
178,350.494035665597
397,414.883784340927
432,432.744735649955
1349,1300.48997491679
451,456.234497235035
616,608.852767034986
1088,977.823726293452
1361,1301.94959411131
863,824.238018491267
655,667.919656389292
488,488.596334303053
264,312.874507190338
719,709.710942203764
341,316.859815614462
740,691.846848467585
832,784.334013397057
581,203.207194800542
890,879.984472783221
26,-7.16893165779996
66,71.6672977394581
1365,1305.55683208735
946,690.294339861372
224,253.114782024423
702,719.620157160417
622,639.223828421021
575,564.917647392238
175,926.123822949509
690,268.596777303329
596,499.893229684472
689,1323.14024294787
437,494.792032813811
48,438.45013911123
855,832.382213661641
285,418.205443117109
1293,1243.52227331432
760,374.975349205916
695,644.254844694394
806,773.862497525256
1349,1302.63919099031
298,321.519361129095
595,584.388878039907
592,687.714959740158
1095,1050.79214655608
378,422.170284003134
488,488.596334303053
534,546.448443013433
391,208.906481959423
407,459.951234450482
1350,1302.69750638325
466,179.107794119346
452,467.640893914342
469,493.773741384845
304,317.890994622134
1350,1293.0226452096
813,822.126471671713
1365,414.286989851549
822,801.602573714549
410,397.047200933707
305,331.153056198433
1142,1032.08339152809
38,103.127985392117
1356,1311.38992294865
667,658.628720339053
766,757.998713680055
486,527.705266193873
925,918.643415038387
190,235.858160286266
1336,1285.44246169214
543,153.117946246563
452,467.640893914342
879,843.396888928336
749,744.796578717486
938,919.734239530406
1356,1318.85347169777
665,552.730466877766
1334,1278.81367499765
1010,937.342209599913
376,359.078981751022
1365,1322.48577932555
248,298.01275123045
421,433.372764845094
931,871.92026466388
801,873.886164056631
405,409.52891201255
1365,1323.29908736041
839,854.224500913559
500,406.185037732139
1133,865.564257960027
717,767.419660114142
1071,863.283665115044
452,467.640893914342
557,560.886730061666
1349,1300.54311353564
1039,1001.03223416488
1361,1295.4008489394
292,334.48919253992
305,350.302013093294
10,66.5204213021392
396,366.881357692853
613,613.09605814493
333,259.22319763546
804,812.864613618156
488,488.596334303053
327,384.078456004634
1313,1218.76316257844
367,567.108107155145
1365,835.915371387009
1090,1142.71739746829
278,299.928001207179
203,217.68170900107
1351,1293.83115209975
212,167.842477149354
233,98.0627681184523
736,712.343930664691
878,872.326748174532
290,294.098677513605
589,565.001869874744
494,719.742801779005
396,498.226106712904
1250,1217.145096045
659,648.948980518684
104,181.001765464998
292,478.078709468868
1285,455.886318216082
432,432.744735649955
884,844.176993848006
26,70.748273540818
10,131.546482458184
1107,918.56309617921
524,655.708669754421
607,635.957124488153
1362,1325.33441170901
704,672.942518444686
651,658.950392809698
1000,1056.967218062
555,553.597088723859
709,732.428675418618
704,684.386499849214
1361,1291.4163612291
452,467.640893914342
212,350.663160934978
549,527.708534402518
749,749.421856612581
150,179.918095127419
1094,1065.49486969457
581,586.114515790016
306,266.679245543867
432,432.744735649955
1365,1314.93323011783
1365,1318.90216661773
530,710.092145123682
37,34.737391272816
108,272.842251638186
1363,1322.29697734729
611,616.616647188558
305,331.153056198433
1019,944.843951592517
224,253.114782024423
1364,1275.68126736132
328,337.801132059945
736,663.244493511356
0,478.686341547148
189,666.362101635768
777,881.330094315869
1359,1298.1110548869
1365,1242.69562314905
331,310.503376801444
304,276.196773285571
532,502.790107054464
846,1111.38653720539
298,79.0667172287149
736,712.343930664691
377,1072.22665398655
984,940.787513999391
432,432.744735649955
411,638.094741816856
932,913.733808486777
305,331.153056198433
1148,1088.85075593865
723,736.420070476632
1353,1312.78524682152
937,1008.19049381166
662,665.167122789049
557,563.8362289185
702,889.676160842065
684,720.611180555253
397,414.883784340927
468,477.665368200349
406,524.665833612814
311,330.277595535292
451,456.234497235035
204,275.875550206874
1014,975.75596831911
412,429.750089261358
1289,1239.5147022888
1358,1291.88997236431
405,406.5988008903
1360,1300.36266700059
773,744.246575265383
1016,971.939367790545
1030,951.508328779475
1355,1291.40715404156
773,771.193599958345
683,703.152092915238
802,681.55628840234
301,319.213308050633
396,366.881357692853
89,128.70233206742
578,452.942271480374
464,277.361792394101
697,1236.14983656262
401,589.890885915026
451,456.234497235035
792,775.052269138425
575,719.032209789991
323,342.068984563717
50,88.1305774179756
405,403.083032183192
363,361.582342250974
1358,1303.09686931529
438,293.984067450821
61,142.994531992831
258,498.69825540597
434,476.086494818397
339,277.281091469369
46,81.5174673848976
913,893.749446052539
224,253.114782024423
411,423.442110846927
1359,1297.24718760956
26,107.937872921263
1224,1132.07912158402
300,318.835709630714
128,236.283403072475
1252,1178.46908932649
1352,1288.91191288859
422,258.977782546445
452,480.142458540573
872,861.550018069592
224,253.430468630859
719,734.08880594394
458,456.521614633005
1348,1302.95840928273
751,166.223713826754
576,289.928059210878
354,536.060762243495
646,511.612479789585
432,432.744735649955
397,414.270067860282
415,424.258961875989
568,450.01540092212
660,758.145570672116
667,553.422931740416
337,350.861027810024
343,312.106828106289
