"Actual","Predicted"
435,467.043266666667
589,487.969851515152
1039,1037.10912391553
224,268.586628571428
439,601.714356410256
889,931.734890476191
1314,1284.5263969697
912,841.217252540442
397,397.183331391892
897,888.346211111111
1365,1363.01280801699
422,441.5532
495,490.976493847439
872,697.934583333334
278,288.361866666667
432,440.934938095238
421,459.711847619048
432,434.416267804136
370,359.006283333333
557,558.454951282051
396,640.671377777778
241,323.760603117357
595,592.449440972823
808,715.881823809524
1057,999.976699999999
676,619.365388888889
557,546.873656410257
768,696.696233333333
462,461.132207096774
1362,1355.8273
1354,1252.24891929825
956,957.139976470589
691,462.810195512821
40,284.613466666667
282,350.991266666667
546,572.812933333334
630,626.36796983017
732,663.451624475524
265,271.544504040404
1350,1348.28486548452
681,676.883572344322
378,375.405379076479
917,883.450366666667
90,665.614233333333
190,241.241133333333
411,467.038754163484
290,366.878245614035
521,496.869190160649
1350,1338.76649241379
305,304.981628968268
452,458.932629296135
1133,977.237766666666
412,432.222305017205
514,522.558253744443
751,571.564233333333
101,804.963007142857
1364,1350.40172020202
129,273.125133333333
1365,1364.89655728221
359,395.045623506885
555,557.309154029304
1016,1028.10051867905
401,437.880651803752
799,789.594666666667
430,438.1501
1280,1074.49206666667
1356,1324.4525
323,320.859123076987
1365,1295.93736064802
484,634.015015019763
554,564.062585714286
323,320.859123076987
1149,1157.41596666667
305,304.981628968268
320,505.076933333333
578,628.393127705628
470,475.934266666667
347,329.23490677768
698,599.045887005152
578,640.274097381361
1055,1059.5769
1094,983.669871428572
524,571.043966666666
19,255.974652380952
1036,1030.57749365079
469,513.511633955897
522,518.315721868663
1365,1362.05097951703
237,448.173307326008
622,548.465233333333
311,482.370622727273
545,582.922769136746
312,332.336219317266
545,590.401139371155
531,564.4315
337,355.317302813853
412,414.315866666667
1351,1351.0586820676
452,458.932629296135
451,451
1354,1332.76306666667
1171,1029.7098
668,621.270733333333
541,590.690244444445
775,311.524533333333
609,536.221389876216
84,98.2873952380953
1296,1244.87118492063
708,702.009266666667
477,523.633833333333
806,788.220985714285
471,802.298033333333
206,318.107433333333
682,623.31840952381
1095,1092.1544
426,445.681368547156
451,451
1365,1123.4508047619
1356,1344.37907578348
200,274.912438082316
74,220.5727
1259,670.800419047619
1037,450.507966666666
478,521.847066666666
