"Actual","Predicted"
575,654.17211328976
451,498.794816414687
917,920.397452229299
1351,1321.69418132612
822,920.397452229299
1350,1321.69418132612
974,920.397452229299
462,498.794816414687
305,339.138996138996
462,498.794816414687
520,920.397452229299
451,498.794816414687
613,654.17211328976
417,339.138996138996
1188,920.397452229299
696,654.17211328976
274,339.138996138996
625,654.17211328976
305,339.138996138996
304,339.138996138996
1365,1321.69418132612
896,920.397452229299
1365,1321.69418132612
897,920.397452229299
411,654.17211328976
437,498.794816414687
397,339.138996138996
1010,920.397452229299
569,654.17211328976
698,654.17211328976
1286,1321.69418132612
422,498.794816414687
432,498.794816414687
92,142.419161676647
672,654.17211328976
774,654.17211328976
405,339.138996138996
504,498.794816414687
611,654.17211328976
271,142.419161676647
1365,1321.69418132612
1256,654.17211328976
317,498.794816414687
1347,1321.69418132612
947,1321.69418132612
579,920.397452229299
415,339.138996138996
68,339.138996138996
397,339.138996138996
488,498.794816414687
451,498.794816414687
1359,1321.69418132612
403,339.138996138996
137,142.419161676647
291,339.138996138996
1360,1321.69418132612
614,654.17211328976
690,654.17211328976
1364,1321.69418132612
799,654.17211328976
1148,654.17211328976
416,498.794816414687
415,498.794816414687
397,339.138996138996
1350,1321.69418132612
239,339.138996138996
141,339.138996138996
1362,1321.69418132612
1336,1321.69418132612
637,654.17211328976
197,339.138996138996
44,142.419161676647
717,654.17211328976
1365,1321.69418132612
1363,1321.69418132612
305,339.138996138996
736,654.17211328976
639,654.17211328976
514,498.794816414687
229,339.138996138996
1357,1321.69418132612
1364,1321.69418132612
431,498.794816414687
255,339.138996138996
299,339.138996138996
1293,1321.69418132612
724,654.17211328976
915,920.397452229299
188,339.138996138996
171,920.397452229299
824,920.397452229299
333,920.397452229299
676,654.17211328976
432,498.794816414687
1006,920.397452229299
412,339.138996138996
224,339.138996138996
1287,1321.69418132612
342,339.138996138996
1150,920.397452229299
424,339.138996138996
531,498.794816414687
602,654.17211328976
585,654.17211328976
1364,1321.69418132612
308,339.138996138996
1365,1321.69418132612
323,339.138996138996
663,654.17211328976
397,339.138996138996
255,339.138996138996
420,920.397452229299
451,498.794816414687
397,339.138996138996
233,339.138996138996
609,498.794816414687
259,339.138996138996
664,1321.69418132612
432,498.794816414687
405,654.17211328976
1350,1321.69418132612
1365,920.397452229299
333,339.138996138996
771,920.397452229299
531,498.794816414687
520,498.794816414687
1160,1321.69418132612
1039,920.397452229299
1365,1321.69418132612
382,339.138996138996
336,498.794816414687
534,498.794816414687
309,339.138996138996
901,920.397452229299
609,654.17211328976
617,654.17211328976
822,920.397452229299
698,654.17211328976
1185,1321.69418132612
435,339.138996138996
1350,1321.69418132612
580,142.419161676647
670,654.17211328976
253,339.138996138996
1333,920.397452229299
711,920.397452229299
22,142.419161676647
634,654.17211328976
385,339.138996138996
207,339.138996138996
890,920.397452229299
497,339.138996138996
778,920.397452229299
417,339.138996138996
1298,1321.69418132612
535,498.794816414687
79,142.419161676647
514,498.794816414687
305,339.138996138996
305,339.138996138996
397,339.138996138996
607,142.419161676647
911,920.397452229299
429,339.138996138996
397,339.138996138996
276,339.138996138996
470,498.794816414687
819,920.397452229299
551,498.794816414687
37,142.419161676647
1085,1321.69418132612
477,498.794816414687
432,498.794816414687
94,142.419161676647
806,920.397452229299
897,920.397452229299
278,339.138996138996
312,339.138996138996
1098,920.397452229299
8,142.419161676647
1351,1321.69418132612
540,339.138996138996
163,339.138996138996
1362,1321.69418132612
483,498.794816414687
254,339.138996138996
375,654.17211328976
557,498.794816414687
754,498.794816414687
1039,920.397452229299
608,654.17211328976
925,920.397452229299
283,142.419161676647
581,654.17211328976
488,498.794816414687
1365,1321.69418132612
388,339.138996138996
83,142.419161676647
277,498.794816414687
684,654.17211328976
631,654.17211328976
366,339.138996138996
408,498.794816414687
68,142.419161676647
573,654.17211328976
451,498.794816414687
451,498.794816414687
1360,1321.69418132612
835,920.397452229299
285,339.138996138996
137,142.419161676647
122,142.419161676647
280,339.138996138996
1365,1321.69418132612
424,498.794816414687
611,654.17211328976
901,920.397452229299
570,498.794816414687
221,339.138996138996
713,920.397452229299
780,920.397452229299
83,142.419161676647
426,498.794816414687
946,654.17211328976
417,339.138996138996
453,339.138996138996
507,498.794816414687
329,339.138996138996
1365,1321.69418132612
696,654.17211328976
687,654.17211328976
655,654.17211328976
320,498.794816414687
1365,1321.69418132612
398,339.138996138996
183,142.419161676647
745,654.17211328976
272,498.794816414687
728,654.17211328976
645,654.17211328976
1346,1321.69418132612
560,498.794816414687
708,654.17211328976
802,654.17211328976
309,339.138996138996
319,339.138996138996
397,339.138996138996
645,654.17211328976
1365,1321.69418132612
451,498.794816414687
417,339.138996138996
232,339.138996138996
339,339.138996138996
397,339.138996138996
722,920.397452229299
14,142.419161676647
603,654.17211328976
451,498.794816414687
1153,920.397452229299
575,654.17211328976
818,920.397452229299
424,654.17211328976
58,339.138996138996
897,654.17211328976
746,654.17211328976
1358,1321.69418132612
482,339.138996138996
1042,920.397452229299
305,339.138996138996
932,920.397452229299
614,654.17211328976
876,920.397452229299
819,654.17211328976
797,920.397452229299
1365,1321.69418132612
190,339.138996138996
1168,920.397452229299
1025,920.397452229299
915,920.397452229299
1350,1321.69418132612
312,339.138996138996
452,498.794816414687
1362,1321.69418132612
1365,1321.69418132612
719,654.17211328976
397,339.138996138996
79,339.138996138996
1094,920.397452229299
305,339.138996138996
501,498.794816414687
305,339.138996138996
580,498.794816414687
399,498.794816414687
314,339.138996138996
202,339.138996138996
626,339.138996138996
538,498.794816414687
616,654.17211328976
493,498.794816414687
201,339.138996138996
221,339.138996138996
558,498.794816414687
745,654.17211328976
1365,1321.69418132612
1242,920.397452229299
548,498.794816414687
985,654.17211328976
684,339.138996138996
43,142.419161676647
580,654.17211328976
206,339.138996138996
1295,1321.69418132612
220,339.138996138996
783,920.397452229299
89,142.419161676647
234,339.138996138996
1215,920.397452229299
872,920.397452229299
87,142.419161676647
305,339.138996138996
922,654.17211328976
